PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Legislativo;Otros;LIMA;LIMA;LIMA;CONGRESO DE LA REPUBLICA ;20161749126
Poder Judicial;Otros;LIMA;LIMA;LIMA;ACADEMIA DE LA MAGISTRATURA ;20290898685
Poder Judicial;Otros;AREQUIPA;AREQUIPA;AREQUIPA;CORTE SUPERIOR DE AREQUIPA ;20456310959
Poder Judicial;Otros;CUSCO;CUSCO;CUSCO;CORTE SUPERIOR DE CUSCO ;20490770683
Poder Judicial;Otros;LIMA;HUAURA;HUACHO;CORTE SUPERIOR DE HUAURA ;20602789137
Poder Judicial;Otros;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CORTE SUPERIOR DE JUSTICIA DE AMAZONAS ;No identificado
Poder Judicial;Otros;ANCASH;HUARAZ;HUARAZ;CORTE SUPERIOR DE JUSTICIA DE ANCASH ;20571436575
Poder Judicial;Otros;APURIMAC;ABANCAY;ABANCAY;CORTE SUPERIOR DE JUSTICIA DE APURIMAC ;20602776604
Poder Judicial;Otros;AYACUCHO;HUAMANGA;AYACUCHO;CORTE SUPERIOR DE JUSTICIA DE AYACUCHO ;20602769934
Poder Judicial;Otros;CAJAMARCA;CAJAMARCA;CAJAMARCA;CORTE SUPERIOR DE JUSTICIA DE CAJAMARCA ;20529629355
Poder Judicial;Otros;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;CORTE SUPERIOR DE JUSTICIA DE CAÑETE ;20603910631
Poder Judicial;Otros;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;CORTE SUPERIOR DE JUSTICIA DE HUANCAVELICA ;No identificado
Poder Judicial;Otros;HUANUCO;HUANUCO;HUANUCO;CORTE SUPERIOR DE JUSTICIA DE HUANUCO ;20573016786
Poder Judicial;Otros;ICA;ICA;ICA;CORTE SUPERIOR DE JUSTICIA DE ICA ;20534750430
Poder Judicial;Otros;JUNIN;HUANCAYO;EL TAMBO;CORTE SUPERIOR DE JUSTICIA DE JUNIN ;20568198272
Poder Judicial;Otros;LA LIBERTAD;TRUJILLO;TRUJILLO;CORTE SUPERIOR DE JUSTICIA DE LA LIBERTAD ;20477550429
Poder Judicial;Otros;JUNIN;CHANCHAMAYO;CHANCHAMAYO;CORTE SUPERIOR DE JUSTICIA DE LA SELVA CENTRAL ;No identificado
Poder Judicial;Otros;LIMA;LIMA;INDEPENDENCIA;CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE ;20550734223
Poder Judicial;Otros;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;CORTE SUPERIOR DE JUSTICIA DE LIMA SUR ;20602779875
Poder Judicial;Otros;LORETO;MAYNAS;IQUITOS;CORTE SUPERIOR DE JUSTICIA DE LORETO ;No identificado
Poder Judicial;Otros;MADRE DE DIOS;NULL;NULL;CORTE SUPERIOR DE JUSTICIA DE MADRE DE DIOS ;No identificado
Poder Judicial;Otros;MOQUEGUA;NULL;NULL;CORTE SUPERIOR DE JUSTICIA DE MOQUEGUA ;No identificado
Poder Judicial;Otros;PASCO;PASCO;YANACANCHA;CORTE SUPERIOR DE JUSTICIA DE PASCO ;No identificado
Poder Judicial;Otros;CALLAO;CALLAO;VENTANILLA;CORTE SUPERIOR DE JUSTICIA DE PUENTE PIEDRA - VENTANILLA ;No identificado
Poder Judicial;Otros;PUNO;PUNO;PUNO;CORTE SUPERIOR DE JUSTICIA DE PUNO ;20448626114
Poder Judicial;Otros;PIURA;SULLANA;SULLANA;CORTE SUPERIOR DE JUSTICIA DE SULLANA ;No identificado
Poder Judicial;Otros;TACNA;TACNA;TACNA;CORTE SUPERIOR DE JUSTICIA DE TACNA ;No identificado
Poder Judicial;Otros;TUMBES;TUMBES;TUMBES;CORTE SUPERIOR DE JUSTICIA DE TUMBES ;No identificado
Poder Judicial;Otros;UCAYALI;CORONEL PORTILLO;CALLARIA;CORTE SUPERIOR DE JUSTICIA DE UCAYALI ;20602729762
Poder Judicial;Otros;CALLAO;CALLAO;CALLAO;CORTE SUPERIOR DE JUSTICIA DEL CALLAO ;20550310539
