Módulo;Función;;;
Sales Cloud;Gestión de cuentas y contactos;;;
;Gestión de leads (clientes potenciales);;;
;Gestión de oportunidades;;;
;Pronósticos y gestión de cuotas de ventas;;;
;Seguimiento de actividades y calendario;;;
;Automatización de procesos de venta (flujos de trabajo y aprobaciones);;;
;Generación de cotizaciones y pedidos;;;
;Informes y paneles de control;;;
;Ventas móviles (aplicación móvil);;;
;Colaboración en ventas (Chatter);;;
;Gestión de territorios de venta;;;
;Inteligencia de ventas con Einstein (p.ej. puntuación de oportunidades);;;
Service Cloud;Gestión de casos de servicio al cliente;;;
;Consola de servicio omnicanal;;;
;Base de conocimientos y artículos;;;
;Chat en vivo y mensajería (atención en tiempo real);;;
;Enrutamiento omnicanal de casos (automatizado por habilidades/prioridad);;;
;Telefonía y CTI integrados (integración de centro de llamadas);;;
;Automatización de servicio (macros  respuestas rápidas  flujo de casos);;;
;Gestión de acuerdos de nivel de servicio (SLAs  respuestas rápidas  hitos);;;
;Self-service y portales de clientes (centros de ayuda en línea);;;
;Bots de servicio al cliente con IA (Einstein Bots);;;
;Análisis del servicio al cliente (métricas y dashboards de soporte);;;
;Integración con Field Service (conversión de casos a órdenes de trabajo de campo);;;
Field Service;Programación y asignación de citas de servicio;;;
;Optimización de rutas y calendario de visitas;;;
;Aplicación móvil para técnicos de campo;;;
;Gestión de órdenes de trabajo y tickets de servicio;;;
;Seguimiento de inventario de repuestos en campo;;;
;Firma digital y confirmación de servicio in situ;;;
;Mantenimiento preventivo y contratos de servicio;;;
;Integración con Service Cloud (casos convertidos a órdenes de trabajo);;;
;Monitorización en tiempo real de operaciones de campo;;;
Marketing Cloud;Email marketing (creación y envío de campañas de correo electrónico);;;
;Automatización de marketing (orquestación de viajes del cliente a través de múltiples canales);;;
;Marketing en redes sociales (publicación y escucha social);;;
;Gestión de publicidad digital (Advertising Studio; anuncios segmentados);;
;Personalización web y recomendaciones en tiempo real (Interaction Studio);;;
;Gestión de audiencia y segmentación de datos (Contact/Audience Builder);;;
;Análisis de marketing (Marketing Cloud Intelligence/Datorama; reportes de campañas);;
;Optimización de contenido e imágenes con IA (Einstein para Marketing Cloud);;;
;Planificación y calendario de campañas de marketing;;;
;Gestión de contenidos de marketing (Content Builder para activos digitales);;;
Marketing Cloud Account Engagement (Pardot);Automatización de marketing B2B;;;
;Gestión de leads B2B (captación; cualificación y puntuación de prospectos);;
;Nutrición de leads (envío automatizado de correos según comportamiento);;;
;Gestión de campañas de email B2B;;;
;Calificación de prospectos (lead scoring & grading);;;
;Alineación con Ventas (notificaciones e integración con CRM de ventas);;;
;Seguimiento de actividad web de prospectos (páginas de destino; formularios);;
;Informes de efectividad de campañas y retorno de inversión (ROI);;;
Commerce Cloud (B2C);Creación de tiendas en línea para clientes B2C;;;
;Gestión de catálogos de productos;;;
;Carrito de compras y proceso de pago seguro;;;
;Personalización de la experiencia de compra (recomendaciones; promociones);;
;Gestión de promociones y cupones;;;
;Búsqueda y filtrado de productos (navegación guiada);;;
;Soporte para múltiples idiomas y monedas;;;
;Comercio móvil (sitios web responsivos y app móvil);;;
;Integración con redes sociales y marketplaces;;;
;Gestión de inventario en tiempo real;;;
;Integración con sistemas de logística y fulfillment de pedidos;;;
Commerce Cloud (B2B);Portal de comercio electrónico para clientes B2B;;;
;Catálogo de productos con precios negociados por cliente;;;
;Gestión de cuentas y contactos de clientes empresariales;;;
;Procesamiento de pedidos al por mayor y recurrentes;;;
;Solicitud de cotizaciones en línea (RFQ) para clientes;;;
;Aprobaciones de pedidos y flujos de trabajo personalizados;;;
;Integración con ERP para precios e inventario actualizados;;;
;Repositorio de contratos y acuerdos de compra;;;
;Autoservicio para clientes (historial de pedidos; reórdenes rápidas);;
Salesforce Order Management;Orquestación del ciclo de vida de pedidos omnicanal;;;
;Gestión de órdenes desde la creación hasta el cumplimiento;;;
;Gestión de devoluciones; cambios y reembolsos;;
;Registro de pagos y facturación de pedidos;;;
;Visibilidad de inventario y estados de envío;;;
