Tabla Maestra de Módulos y Funciones ;
Módulo;Función Principal
Almacén;Gestión de Productos
;Generación e Impresión de Código de Barras
;Manejo de Lotes
;Manejo de Serie de Productos
;Generar múltiples almacenes
;Salida de Productos en diferentes unidades
;Salida por Centro de Costos
;Generar Guía de Despacho
;Transferencia entre Almacenes
;Toma de Inventario
;Reposición de Stock
;Compras Directas sin Orden de Compra
;Manejo de Fórmula y Receta
;Consulta de Stock
;Consulta de Movimiento por Producto
;Reportes Estadísticos: Stock Actual
;Stock por almacenes
;Inventario Unidades
;Inventario Valorizado
;Costo de Ventas
;Saldo Valorizado
;Stock por Lotes
;Movimientos por Producto
;Movimientos por almacén
;Resumen de Despacho.
;Gestión de Materiales
;Salida de Productos por Orden de Servicio
;Consulta de StocK
;Salida de Productos por Proyecto
;Consulta de Stock
Almacenes;Gestión de Productos
;Generación e Impresión de Código de Barras
;Manejo de Lotes
;Generar múltiples almacenes
;Salida de Productos en diferentes unidades
;Generar Guía de Despacho
;Transferencia entre Almacenes
;Toma de Inventario
;Compras Directas sin Orden de Compra
;Consulta de Stock
;Manejo de Serie de Productos
;Salida por Centro de Costos
;Reposición de Stock
;Manejo de Fórmula y Receta
;Consulta de Movimiento por Producto
;"""Reportes Estadísticos (Stock Actual; Stock por almacenes; Inventario Unidades; Inventario Valorizado; Costo de Ventas; Saldo Valorizado; Stock por Lotes; Movimientos por Producto; Movimientos por almacén; Resumen de Despacho)"""
;Salida de Productos por Taller
;Consulta de Stock (SICO Perú)
;Gestión de productos
;Generación e impresión de códigos de barras
;Múltiples almacenes
;Salida de productos por centro de costo (habitación)
;Generar guía de despacho
;Salida de Productos en Diferentes Unidades
Caja;Gestión de Cobranzas
;Depósito de Cobranzas
;Resumen de Cobranzas
;Manejo de Libro Caja y Bancos
;Libro Caja y Bancos
;Conciliación Bancaria
;Pago a Proveedores
;Resumen de Pagos
;Manejo de Caja Chica
;Manejo de Rendición de Cuentas
;Creación de Múltiples Cajas
;Asignación de Personal para Uso de la Caja
;Apertura de Caja
;Cierre y Liquidación de Caja
;Creación de múltiples cajas
;Asignación de personal para el uso de la caja
;Cierre y liquidación de caja
;Apertura, cierre y arqueo de caja
;Soporta pagos en efectivo, tarjeta y vales
;Control de cierres parciales y finales
;Registro de propinas y redondeos
;Manejo de Rendición de Cuentas (SICO Perú)
Comandas y Cocina;Toma de orden en tablet o terminal para enviar directamente a cocina
;Gestión de estados de preparación (pendiente, en curso, listo)
;Control de tiempos de preparación y prioridades
;División de cuentas y cierre por comensal o por mesa
Compras;Registro de Compras
;Gestión de Proveedores
;Estado de Cuenta por Proveedor
;Manejo de Cartera Proveedores
;Generación de Orden de Compra
;Aprobación Electrónica de Orden de Compra
;Mercadería por Recibir
;Mercadería en Tránsito
;Gestión y control de Requerimientos
;Registro de Documentos de Proveedor
;Registro de Gastos
;Manejo de Centro de Costos
;Gastos por Centro de Costo
;Control de Gastos
;Registro Declaración de Importación
;Prorrateo de Costos Automático y Manual
;Costo de Importación
;Transferencia de Costos
;Reporte de Costo de Importación
;Reportes Estadísticos: Compras por Producto
;Compras por Proveedor
